,distance_anomaly_score,recon_loss
189,0.060198767,0.840936022
190,0.060198767,0.826562165
191,0.060198767,0.812338036
192,0.060198767,0.798261308
193,0.060198767,0.7843297
194,0.060198767,0.770540981
195,0.060198767,0.756892963
196,0.060198767,0.743383503
197,0.060198767,0.730010503
198,0.060198767,0.716771904
199,0.060198767,0.703665692
200,0.060198767,0.690689889
201,0.060198767,0.677842561
202,0.060198767,0.665121806
203,0.060198767,0.652525765
204,0.060198767,0.640052612
205,0.060198767,0.627700558
206,0.060198767,0.615467847
207,0.060198767,0.603352759
208,0.060198767,0.591353604
209,0.060198767,0.579468727
210,0.060198767,0.567696503
211,0.060198767,0.556035337
212,0.060198767,0.544483666
213,2.205534956,1.311388929
214,0.060198767,1.296431443
215,-9.09490979,1.401612388
216,2.505494131,1.387865629
217,-1.083939718,1.372783132
218,-1.083939718,1.357838379
219,-1.083939718,1.343029476
220,-1.083939718,1.328354597
221,-1.083939718,1.313811925
222,-1.083939718,1.29939968
223,-1.083939718,1.285116116
224,2.505494131,1.272375891
225,-1.083939718,1.258338305
226,0.060198767,1.24440523
227,2.605597138,1.230636563
228,0.060198767,1.216946139
229,0.060198767,1.203374762
230,0.060198767,1.189920886
231,0.060198767,1.176582992
232,0.060198767,1.163359586
233,0.060198767,1.150249201
234,0.060198767,1.137250393
235,0.060198767,1.124361745
236,0.060198767,1.111581862
237,0.060198767,1.098909372
238,0.060198767,1.086342929
239,0.060198767,1.073881206
240,0.060198767,1.0615229
241,0.060198767,1.049266729
242,0.060198767,1.037111431
243,0.060198767,1.025055767
244,0.060198767,1.013098517
245,0.060198767,1.00123848
246,0.060198767,0.989474476
247,0.060198767,0.977805342
248,0.060198767,0.966229937
249,0.060198767,0.954747135
250,0.060198767,0.943355829
251,0.060198767,0.932054931
252,0.060198767,0.920843368
253,0.060198767,0.909720084
254,0.060198767,0.898684043
255,0.060198767,0.88773422
256,0.060198767,0.87686961
257,0.060198767,0.866089221
258,0.060198767,0.855392079
259,0.060198767,0.844777223
260,0.060198767,0.834243706
261,0.060198767,0.823790599
262,0.060198767,0.813416982
263,0.060198767,0.803121953
264,2.614532759,0.921544497
265,0.060198767,0.910920376
266,2.505494131,0.901585711
267,-1.083939718,0.891131591
268,-1.083939718,0.880755196
269,0.060198767,0.870439544
270,-1.083939718,0.860216083
271,-1.083939718,0.850067793
272,0.060198767,0.839977909
